label,message
ham,"Hey, are we still meeting at 5 PM today?"
spam,You have been selected for a cash prize of $1000. Call +447911123456 immediately!
spam,"Dear user, you are eligible for a loan of $100. Apply now: http://scam.com/claim"
spam,You have been selected for a cash prize of $500. Call +447911123456 immediately!
spam,Your parcel is waiting. Confirm delivery at http://verify-now.net
spam,You have been selected for a cash prize of $1000. Call +447911123456 immediately!
spam,Win a free iPhone by participating here: http://verify-now.net
spam,Win a free iPhone by participating here: http://verify-now.net
ham,Good luck with your final project tomorrow!
ham,Please remind me to pick up laptop on my way home.
ham,Happy Birthday! Hope you have an amazing day!
ham,Don't forget to bring the book tomorrow.
spam,Earn $100 working from home. Sign up at http://scam.com/claim
ham,Good luck with your final project tomorrow!
spam,Your parcel is waiting. Confirm delivery at http://bit.ly/winprize
spam,Earn $2000 working from home. Sign up at http://bit.ly/winprize
spam,Urgent! Your account will be suspended. Verify now: http://verify-now.net
ham,Let’s catch up over sushi sometime this week.
spam,You have been selected for a cash prize of $2000. Call +447911123456 immediately!
spam,Claim your free phone today. Limited offer: http://scam.com/claim
ham,Good luck with your math exam tomorrow!
ham,Can you send me the notes from computer class?
ham,Thanks for helping me with the assignment yesterday.
spam,Urgent! Your account will be suspended. Verify now: http://bit.ly/winprize
spam,"Dear user, you are eligible for a loan of $250. Apply now: http://scam.com/claim"
ham,Happy Birthday! Hope you have an amazing day!
ham,Let’s catch up over burger sometime this week.
ham,Are you coming to the party tonight?
spam,Congratulations! You've won a $1000 gift card. Click here to claim: http://verify-now.net
spam,Urgent! Your account will be suspended. Verify now: http://bit.ly/winprize
ham,Please remind me to pick up book on my way home.
spam,Urgent! Your account will be suspended. Verify now: http://verify-now.net
ham,Please remind me to pick up book on my way home.
spam,Win a free iPhone by participating here: http://scam.com/claim
ham,Don't forget to bring the book tomorrow.
ham,Are you coming to the concert tonight?
ham,Can you send me the notes from history class?
spam,Earn $500 working from home. Sign up at http://bit.ly/winprize
spam,Claim your free headphones today. Limited offer: http://bit.ly/winprize
spam,"Dear user, you are eligible for a loan of $2000. Apply now: http://bit.ly/winprize"
spam,"Dear user, you are eligible for a loan of $1000. Apply now: http://bit.ly/winprize"
spam,Urgent! Your account will be suspended. Verify now: http://scam.com/claim
ham,Good luck with your coding test tomorrow!
ham,Can you send me the notes from computer class?
spam,Earn $2000 working from home. Sign up at http://verify-now.net
ham,Let’s catch up over pizza sometime this week.
spam,Urgent! Your account will be suspended. Verify now: http://bit.ly/winprize
spam,"Dear user, you are eligible for a loan of $2000. Apply now: http://verify-now.net"
ham,"Hey, are we still meeting at noon today?"
ham,"I'll call you after work, probably around 7:30 PM."
spam,Earn $2000 working from home. Sign up at http://scam.com/claim
spam,Claim your free watch today. Limited offer: http://verify-now.net
spam,Earn $500 working from home. Sign up at http://verify-now.net
spam,Win a free iPhone by participating here: http://freegift.co
ham,Please remind me to pick up charger on my way home.
ham,Don't forget to bring the keys tomorrow.
ham,"I'll call you after work, probably around 5 PM."
spam,Urgent! Your account will be suspended. Verify now: http://bit.ly/winprize
ham,Good luck with your final project tomorrow!
spam,Congratulations! You've won a $100 gift card. Click here to claim: http://freegift.co
ham,Can you send me the notes from science class?
ham,Please remind me to pick up charger on my way home.
ham,Thanks for helping me with the presentation yesterday.
spam,Your parcel is waiting. Confirm delivery at http://scam.com/claim
ham,Don't forget to bring the keys tomorrow.
ham,Let’s catch up over sushi sometime this week.
spam,Claim your free laptop today. Limited offer: http://bit.ly/winprize
ham,"Hey, are we still meeting at 8 AM today?"
spam,"Dear user, you are eligible for a loan of $1000. Apply now: http://scam.com/claim"
spam,Urgent! Your account will be suspended. Verify now: http://freegift.co
spam,Urgent! Your account will be suspended. Verify now: http://scam.com/claim
ham,Let’s catch up over coffee sometime this week.
spam,Congratulations! You've won a $100 gift card. Click here to claim: http://verify-now.net
ham,Let’s catch up over pizza sometime this week.
ham,Please remind me to pick up book on my way home.
ham,"I'll call you after work, probably around 7:30 PM."
ham,Are you coming to the game night tonight?
ham,Thanks for helping me with the cleaning yesterday.
spam,Win a free iPhone by participating here: http://verify-now.net
ham,Can you send me the notes from math class?
spam,Win a free iPhone by participating here: http://freegift.co
spam,Earn $2000 working from home. Sign up at http://verify-now.net
spam,Get cheap headphones at 90% off. Visit http://bit.ly/winprize now!
ham,Good luck with your final project tomorrow!
ham,Please remind me to pick up book on my way home.
spam,Hot singles in your area want to chat! Click http://freegift.co
spam,Claim your free phone today. Limited offer: http://scam.com/claim
spam,"Dear user, you are eligible for a loan of $250. Apply now: http://bit.ly/winprize"
ham,Don't forget to bring the charger tomorrow.
ham,Don't forget to bring the laptop tomorrow.
spam,Hot singles in your area want to chat! Click http://scam.com/claim
spam,Urgent! Your account will be suspended. Verify now: http://verify-now.net
ham,"I'll call you after work, probably around 5 PM."
spam,Hot singles in your area want to chat! Click http://freegift.co
spam,You have been selected for a cash prize of $1000. Call +1800123456 immediately!
ham,Are you coming to the concert tonight?
spam,Your parcel is waiting. Confirm delivery at http://freegift.co
ham,Are you coming to the party tonight?
ham,Let’s catch up over pizza sometime this week.
spam,"Dear user, you are eligible for a loan of $250. Apply now: http://scam.com/claim"
ham,"I'll call you after work, probably around 8 AM."
spam,You have been selected for a cash prize of $250. Call +447911123456 immediately!
spam,Urgent! Your account will be suspended. Verify now: http://bit.ly/winprize
spam,Earn $500 working from home. Sign up at http://bit.ly/winprize
ham,Happy Birthday! Hope you have an amazing day!
spam,You have been selected for a cash prize of $500. Call +1800123456 immediately!
spam,Hot singles in your area want to chat! Click http://freegift.co
ham,Happy Birthday! Hope you have an amazing day!
spam,Get cheap watch at 90% off. Visit http://bit.ly/winprize now!
ham,"I'll call you after work, probably around noon."
ham,Don't forget to bring the keys tomorrow.
spam,Urgent! Your account will be suspended. Verify now: http://verify-now.net
spam,Earn $250 working from home. Sign up at http://freegift.co
spam,Hot singles in your area want to chat! Click http://bit.ly/winprize
spam,Claim your free phone today. Limited offer: http://bit.ly/winprize
ham,Thanks for helping me with the presentation yesterday.
ham,Good luck with your final project tomorrow!
ham,Are you coming to the game night tonight?
spam,"Dear user, you are eligible for a loan of $250. Apply now: http://scam.com/claim"
spam,Claim your free headphones today. Limited offer: http://bit.ly/winprize
spam,You have been selected for a cash prize of $2000. Call +447911123456 immediately!
spam,"Dear user, you are eligible for a loan of $500. Apply now: http://verify-now.net"
spam,Congratulations! You've won a $250 gift card. Click here to claim: http://freegift.co
ham,"Hey, are we still meeting at 7:30 PM today?"
spam,You have been selected for a cash prize of $100. Call +1800123456 immediately!
ham,"Hey, are we still meeting at 8 AM today?"
ham,Happy Birthday! Hope you have an amazing day!
spam,Congratulations! You've won a $100 gift card. Click here to claim: http://verify-now.net
ham,Don't forget to bring the charger tomorrow.
spam,Claim your free headphones today. Limited offer: http://verify-now.net
spam,Claim your free phone today. Limited offer: http://freegift.co
spam,Urgent! Your account will be suspended. Verify now: http://freegift.co
spam,Claim your free phone today. Limited offer: http://bit.ly/winprize
spam,You have been selected for a cash prize of $100. Call +919876543210 immediately!
ham,"Hey, are we still meeting at noon today?"
ham,Don't forget to bring the charger tomorrow.
ham,"I'll call you after work, probably around noon."
ham,"Hey, are we still meeting at noon today?"
ham,Are you coming to the game night tonight?
spam,"Dear user, you are eligible for a loan of $2000. Apply now: http://bit.ly/winprize"
ham,"Hey, are we still meeting at noon today?"
ham,Don't forget to bring the charger tomorrow.
ham,Let’s catch up over pizza sometime this week.
ham,Are you coming to the game night tonight?
spam,Win a free iPhone by participating here: http://verify-now.net
ham,Don't forget to bring the keys tomorrow.
ham,Please remind me to pick up charger on my way home.
spam,Win a free iPhone by participating here: http://bit.ly/winprize
ham,"Hey, are we still meeting at 5 PM today?"
ham,Good luck with your final project tomorrow!
ham,Good luck with your math exam tomorrow!
ham,"I'll call you after work, probably around 7:30 PM."
spam,Get cheap headphones at 90% off. Visit http://scam.com/claim now!
ham,Let’s catch up over sushi sometime this week.
spam,Earn $500 working from home. Sign up at http://scam.com/claim
ham,"I'll call you after work, probably around 7:30 PM."
ham,Good luck with your coding test tomorrow!
spam,Win a free iPhone by participating here: http://freegift.co
spam,Urgent! Your account will be suspended. Verify now: http://scam.com/claim
spam,Congratulations! You've won a $250 gift card. Click here to claim: http://bit.ly/winprize
ham,Thanks for helping me with the presentation yesterday.
spam,Congratulations! You've won a $500 gift card. Click here to claim: http://bit.ly/winprize
ham,Happy Birthday! Hope you have an amazing day!
spam,"Dear user, you are eligible for a loan of $1000. Apply now: http://bit.ly/winprize"
spam,"Dear user, you are eligible for a loan of $250. Apply now: http://bit.ly/winprize"
spam,Claim your free phone today. Limited offer: http://verify-now.net
ham,Please remind me to pick up book on my way home.
spam,Congratulations! You've won a $250 gift card. Click here to claim: http://verify-now.net
ham,Please remind me to pick up book on my way home.
spam,Your parcel is waiting. Confirm delivery at http://freegift.co
ham,Don't forget to bring the keys tomorrow.
ham,"I'll call you after work, probably around noon."
ham,Let’s catch up over pizza sometime this week.
ham,"Hey, are we still meeting at noon today?"
spam,"Dear user, you are eligible for a loan of $250. Apply now: http://freegift.co"
ham,Let’s catch up over burger sometime this week.
ham,Are you coming to the concert tonight?
spam,Urgent! Your account will be suspended. Verify now: http://verify-now.net
ham,Please remind me to pick up laptop on my way home.
ham,Happy Birthday! Hope you have an amazing day!
ham,"I'll call you after work, probably around 5 PM."
ham,Thanks for helping me with the presentation yesterday.
spam,Get cheap watch at 90% off. Visit http://bit.ly/winprize now!
ham,Let’s catch up over burger sometime this week.
ham,Can you send me the notes from math class?
ham,Are you coming to the party tonight?
spam,Congratulations! You've won a $250 gift card. Click here to claim: http://verify-now.net
spam,Earn $250 working from home. Sign up at http://bit.ly/winprize
spam,Claim your free watch today. Limited offer: http://bit.ly/winprize
ham,Happy Birthday! Hope you have an amazing day!
ham,"I'll call you after work, probably around noon."
ham,Thanks for helping me with the presentation yesterday.
ham,"I'll call you after work, probably around 8 AM."
ham,Can you send me the notes from history class?
spam,Your parcel is waiting. Confirm delivery at http://scam.com/claim
ham,Good luck with your math exam tomorrow!
spam,Win a free iPhone by participating here: http://bit.ly/winprize
spam,Claim your free watch today. Limited offer: http://scam.com/claim
spam,Get cheap headphones at 90% off. Visit http://freegift.co now!
ham,Happy Birthday! Hope you have an amazing day!
ham,"I'll call you after work, probably around 5 PM."
ham,Good luck with your math exam tomorrow!
spam,"Dear user, you are eligible for a loan of $250. Apply now: http://freegift.co"
ham,Are you coming to the concert tonight?
ham,Happy Birthday! Hope you have an amazing day!
spam,"Dear user, you are eligible for a loan of $500. Apply now: http://verify-now.net"
ham,Good luck with your final project tomorrow!
ham,"Hey, are we still meeting at 7:30 PM today?"
spam,Urgent! Your account will be suspended. Verify now: http://freegift.co
spam,Urgent! Your account will be suspended. Verify now: http://freegift.co
spam,Get cheap headphones at 90% off. Visit http://freegift.co now!
spam,You have been selected for a cash prize of $1000. Call +447911123456 immediately!
spam,Claim your free headphones today. Limited offer: http://bit.ly/winprize
spam,Win a free iPhone by participating here: http://verify-now.net
spam,Hot singles in your area want to chat! Click http://scam.com/claim
spam,Urgent! Your account will be suspended. Verify now: http://bit.ly/winprize
spam,You have been selected for a cash prize of $1000. Call +1800123456 immediately!
ham,Please remind me to pick up keys on my way home.
spam,"Dear user, you are eligible for a loan of $1000. Apply now: http://scam.com/claim"
spam,Urgent! Your account will be suspended. Verify now: http://verify-now.net
ham,Please remind me to pick up book on my way home.
spam,Earn $1000 working from home. Sign up at http://freegift.co
ham,"I'll call you after work, probably around noon."
ham,Can you send me the notes from science class?
ham,Happy Birthday! Hope you have an amazing day!
spam,Win a free iPhone by participating here: http://scam.com/claim
spam,Your parcel is waiting. Confirm delivery at http://verify-now.net
ham,Good luck with your final project tomorrow!
ham,Are you coming to the game night tonight?
spam,Urgent! Your account will be suspended. Verify now: http://bit.ly/winprize
ham,Please remind me to pick up book on my way home.
spam,Hot singles in your area want to chat! Click http://verify-now.net
ham,Let’s catch up over coffee sometime this week.
spam,Your parcel is waiting. Confirm delivery at http://scam.com/claim
spam,Earn $100 working from home. Sign up at http://bit.ly/winprize
spam,Your parcel is waiting. Confirm delivery at http://verify-now.net
spam,Claim your free headphones today. Limited offer: http://verify-now.net
ham,Please remind me to pick up book on my way home.
spam,You have been selected for a cash prize of $2000. Call +447911123456 immediately!
ham,"I'll call you after work, probably around 8 AM."
spam,You have been selected for a cash prize of $100. Call +447911123456 immediately!
spam,You have been selected for a cash prize of $1000. Call +1800123456 immediately!
ham,Good luck with your math exam tomorrow!
spam,Your parcel is waiting. Confirm delivery at http://scam.com/claim
spam,Get cheap headphones at 90% off. Visit http://verify-now.net now!
spam,You have been selected for a cash prize of $250. Call +919876543210 immediately!
ham,Please remind me to pick up charger on my way home.
spam,Congratulations! You've won a $100 gift card. Click here to claim: http://verify-now.net
spam,Congratulations! You've won a $100 gift card. Click here to claim: http://freegift.co
spam,Your parcel is waiting. Confirm delivery at http://freegift.co
spam,Win a free iPhone by participating here: http://scam.com/claim
ham,"I'll call you after work, probably around 8 AM."
spam,Hot singles in your area want to chat! Click http://scam.com/claim
spam,You have been selected for a cash prize of $500. Call +1800123456 immediately!
ham,Thanks for helping me with the cleaning yesterday.
ham,Are you coming to the party tonight?
spam,Congratulations! You've won a $500 gift card. Click here to claim: http://verify-now.net
spam,You have been selected for a cash prize of $250. Call +1800123456 immediately!
ham,"Hey, are we still meeting at 8 AM today?"
ham,Thanks for helping me with the assignment yesterday.
spam,Congratulations! You've won a $100 gift card. Click here to claim: http://bit.ly/winprize
ham,Good luck with your final project tomorrow!
ham,Thanks for helping me with the assignment yesterday.
ham,Thanks for helping me with the assignment yesterday.
ham,Thanks for helping me with the cleaning yesterday.
ham,"I'll call you after work, probably around noon."
ham,"Hey, are we still meeting at 7:30 PM today?"
spam,"Dear user, you are eligible for a loan of $100. Apply now: http://verify-now.net"
spam,You have been selected for a cash prize of $500. Call +1800123456 immediately!
ham,Good luck with your coding test tomorrow!
ham,"I'll call you after work, probably around 5 PM."
spam,Urgent! Your account will be suspended. Verify now: http://bit.ly/winprize
ham,Good luck with your math exam tomorrow!
ham,Thanks for helping me with the presentation yesterday.
spam,"Dear user, you are eligible for a loan of $500. Apply now: http://freegift.co"
ham,Please remind me to pick up book on my way home.
ham,Thanks for helping me with the assignment yesterday.
spam,Urgent! Your account will be suspended. Verify now: http://freegift.co
spam,Earn $250 working from home. Sign up at http://verify-now.net
ham,Can you send me the notes from computer class?
spam,Earn $500 working from home. Sign up at http://freegift.co
ham,Happy Birthday! Hope you have an amazing day!
spam,Your parcel is waiting. Confirm delivery at http://freegift.co
spam,"Dear user, you are eligible for a loan of $500. Apply now: http://scam.com/claim"
ham,Good luck with your coding test tomorrow!
spam,Congratulations! You've won a $100 gift card. Click here to claim: http://freegift.co
spam,Win a free iPhone by participating here: http://verify-now.net
ham,Thanks for helping me with the assignment yesterday.
spam,Hot singles in your area want to chat! Click http://scam.com/claim
ham,Happy Birthday! Hope you have an amazing day!
spam,Congratulations! You've won a $100 gift card. Click here to claim: http://freegift.co
ham,Good luck with your final project tomorrow!
spam,Claim your free phone today. Limited offer: http://bit.ly/winprize
spam,"Dear user, you are eligible for a loan of $250. Apply now: http://verify-now.net"
ham,Happy Birthday! Hope you have an amazing day!
spam,Get cheap headphones at 90% off. Visit http://freegift.co now!
spam,Urgent! Your account will be suspended. Verify now: http://freegift.co
spam,Hot singles in your area want to chat! Click http://freegift.co
spam,Claim your free headphones today. Limited offer: http://freegift.co
ham,Thanks for helping me with the presentation yesterday.
spam,Congratulations! You've won a $500 gift card. Click here to claim: http://bit.ly/winprize
spam,Congratulations! You've won a $500 gift card. Click here to claim: http://scam.com/claim
ham,Thanks for helping me with the cleaning yesterday.
ham,Don't forget to bring the book tomorrow.
ham,Good luck with your coding test tomorrow!
spam,Urgent! Your account will be suspended. Verify now: http://scam.com/claim
spam,You have been selected for a cash prize of $500. Call +919876543210 immediately!
ham,"Hey, are we still meeting at 7:30 PM today?"
ham,Happy Birthday! Hope you have an amazing day!
spam,Earn $500 working from home. Sign up at http://freegift.co
ham,"Hey, are we still meeting at 5 PM today?"
spam,You have been selected for a cash prize of $250. Call +1800123456 immediately!
spam,Hot singles in your area want to chat! Click http://freegift.co
spam,Win a free iPhone by participating here: http://scam.com/claim
ham,Are you coming to the game night tonight?
spam,Earn $2000 working from home. Sign up at http://verify-now.net
spam,Your parcel is waiting. Confirm delivery at http://freegift.co
ham,Happy Birthday! Hope you have an amazing day!
ham,Please remind me to pick up laptop on my way home.
ham,"I'll call you after work, probably around 7:30 PM."
spam,Hot singles in your area want to chat! Click http://scam.com/claim
ham,"Hey, are we still meeting at noon today?"
ham,Good luck with your final project tomorrow!
ham,Thanks for helping me with the assignment yesterday.
ham,Thanks for helping me with the cleaning yesterday.
spam,Your parcel is waiting. Confirm delivery at http://scam.com/claim
spam,Earn $1000 working from home. Sign up at http://bit.ly/winprize
ham,Please remind me to pick up keys on my way home.
ham,"I'll call you after work, probably around 7:30 PM."
ham,Are you coming to the concert tonight?
spam,Earn $2000 working from home. Sign up at http://freegift.co
spam,Congratulations! You've won a $500 gift card. Click here to claim: http://bit.ly/winprize
spam,Urgent! Your account will be suspended. Verify now: http://scam.com/claim
spam,Hot singles in your area want to chat! Click http://verify-now.net
spam,Urgent! Your account will be suspended. Verify now: http://verify-now.net
spam,"Dear user, you are eligible for a loan of $2000. Apply now: http://bit.ly/winprize"
spam,"Dear user, you are eligible for a loan of $500. Apply now: http://freegift.co"
spam,Hot singles in your area want to chat! Click http://verify-now.net
ham,Let’s catch up over burger sometime this week.
ham,Can you send me the notes from computer class?
ham,"I'll call you after work, probably around 5 PM."
spam,Get cheap headphones at 90% off. Visit http://freegift.co now!
spam,Claim your free headphones today. Limited offer: http://bit.ly/winprize
ham,Let’s catch up over pizza sometime this week.
ham,Thanks for helping me with the presentation yesterday.
spam,Congratulations! You've won a $1000 gift card. Click here to claim: http://bit.ly/winprize
spam,Urgent! Your account will be suspended. Verify now: http://verify-now.net
ham,Can you send me the notes from science class?
spam,Congratulations! You've won a $500 gift card. Click here to claim: http://verify-now.net
spam,Claim your free phone today. Limited offer: http://freegift.co
ham,Thanks for helping me with the cleaning yesterday.
ham,Happy Birthday! Hope you have an amazing day!
ham,"Hey, are we still meeting at 7:30 PM today?"
spam,Claim your free headphones today. Limited offer: http://bit.ly/winprize
spam,Your parcel is waiting. Confirm delivery at http://freegift.co
ham,Are you coming to the game night tonight?
spam,Win a free iPhone by participating here: http://bit.ly/winprize
spam,Earn $500 working from home. Sign up at http://freegift.co
spam,Win a free iPhone by participating here: http://freegift.co
ham,Good luck with your final project tomorrow!
spam,Claim your free headphones today. Limited offer: http://bit.ly/winprize
spam,Urgent! Your account will be suspended. Verify now: http://bit.ly/winprize
ham,"I'll call you after work, probably around 8 AM."
ham,"I'll call you after work, probably around 8 AM."
spam,You have been selected for a cash prize of $1000. Call +447911123456 immediately!
ham,Are you coming to the party tonight?
spam,"Dear user, you are eligible for a loan of $250. Apply now: http://bit.ly/winprize"
spam,Earn $2000 working from home. Sign up at http://scam.com/claim
ham,"I'll call you after work, probably around 7:30 PM."
ham,"Hey, are we still meeting at 8 AM today?"
ham,Good luck with your coding test tomorrow!
ham,Don't forget to bring the laptop tomorrow.
ham,Don't forget to bring the charger tomorrow.
ham,Thanks for helping me with the cleaning yesterday.
spam,Hot singles in your area want to chat! Click http://freegift.co
ham,Let’s catch up over burger sometime this week.
spam,Earn $1000 working from home. Sign up at http://scam.com/claim
ham,Are you coming to the party tonight?
spam,Urgent! Your account will be suspended. Verify now: http://freegift.co
spam,Congratulations! You've won a $250 gift card. Click here to claim: http://bit.ly/winprize
ham,Happy Birthday! Hope you have an amazing day!
ham,Are you coming to the game night tonight?
ham,Are you coming to the concert tonight?
spam,Claim your free watch today. Limited offer: http://bit.ly/winprize
ham,"I'll call you after work, probably around 8 AM."
ham,"Hey, are we still meeting at noon today?"
ham,Thanks for helping me with the assignment yesterday.
ham,Can you send me the notes from computer class?
ham,"I'll call you after work, probably around noon."
ham,Don't forget to bring the keys tomorrow.
ham,Please remind me to pick up laptop on my way home.
ham,Let’s catch up over coffee sometime this week.
ham,Thanks for helping me with the assignment yesterday.
spam,Earn $1000 working from home. Sign up at http://freegift.co
ham,Let’s catch up over burger sometime this week.
ham,Don't forget to bring the keys tomorrow.
spam,Your parcel is waiting. Confirm delivery at http://freegift.co
ham,"Hey, are we still meeting at noon today?"
spam,You have been selected for a cash prize of $2000. Call +919876543210 immediately!
spam,You have been selected for a cash prize of $500. Call +447911123456 immediately!
spam,Your parcel is waiting. Confirm delivery at http://verify-now.net
ham,Don't forget to bring the keys tomorrow.
ham,"Hey, are we still meeting at 7:30 PM today?"
ham,Let’s catch up over coffee sometime this week.
spam,Win a free iPhone by participating here: http://freegift.co
ham,Good luck with your coding test tomorrow!
ham,Good luck with your coding test tomorrow!
spam,Win a free iPhone by participating here: http://bit.ly/winprize
spam,Congratulations! You've won a $250 gift card. Click here to claim: http://verify-now.net
ham,Happy Birthday! Hope you have an amazing day!
spam,Your parcel is waiting. Confirm delivery at http://freegift.co
spam,You have been selected for a cash prize of $1000. Call +1800123456 immediately!
ham,"I'll call you after work, probably around 8 AM."
spam,Claim your free watch today. Limited offer: http://verify-now.net
ham,Can you send me the notes from math class?
ham,Please remind me to pick up charger on my way home.
ham,"I'll call you after work, probably around 7:30 PM."
spam,Congratulations! You've won a $250 gift card. Click here to claim: http://scam.com/claim
spam,Claim your free laptop today. Limited offer: http://freegift.co
spam,Hot singles in your area want to chat! Click http://scam.com/claim
ham,Thanks for helping me with the cleaning yesterday.
spam,Claim your free headphones today. Limited offer: http://freegift.co
ham,Happy Birthday! Hope you have an amazing day!
ham,Happy Birthday! Hope you have an amazing day!
spam,Urgent! Your account will be suspended. Verify now: http://scam.com/claim
spam,Win a free iPhone by participating here: http://verify-now.net
spam,Get cheap headphones at 90% off. Visit http://bit.ly/winprize now!
ham,Don't forget to bring the keys tomorrow.
ham,Are you coming to the game night tonight?
spam,Earn $500 working from home. Sign up at http://freegift.co
spam,"Dear user, you are eligible for a loan of $100. Apply now: http://verify-now.net"
ham,Don't forget to bring the laptop tomorrow.
ham,Let’s catch up over pizza sometime this week.
spam,Claim your free headphones today. Limited offer: http://scam.com/claim
spam,Hot singles in your area want to chat! Click http://scam.com/claim
spam,Your parcel is waiting. Confirm delivery at http://scam.com/claim
spam,"Dear user, you are eligible for a loan of $1000. Apply now: http://bit.ly/winprize"
spam,Earn $2000 working from home. Sign up at http://bit.ly/winprize
ham,Don't forget to bring the charger tomorrow.
spam,Get cheap phone at 90% off. Visit http://verify-now.net now!
ham,Are you coming to the concert tonight?
ham,"Hey, are we still meeting at 8 AM today?"
ham,Thanks for helping me with the presentation yesterday.
spam,You have been selected for a cash prize of $250. Call +919876543210 immediately!
ham,Please remind me to pick up keys on my way home.
ham,Let’s catch up over sushi sometime this week.
ham,Can you send me the notes from computer class?
ham,Can you send me the notes from science class?
spam,Earn $250 working from home. Sign up at http://bit.ly/winprize
spam,Win a free iPhone by participating here: http://scam.com/claim
ham,"Hey, are we still meeting at noon today?"
ham,Let’s catch up over coffee sometime this week.
spam,Congratulations! You've won a $250 gift card. Click here to claim: http://verify-now.net
spam,Get cheap watch at 90% off. Visit http://scam.com/claim now!
ham,Don't forget to bring the charger tomorrow.
ham,"Hey, are we still meeting at 5 PM today?"
ham,Please remind me to pick up charger on my way home.
spam,"Dear user, you are eligible for a loan of $1000. Apply now: http://freegift.co"
ham,"Hey, are we still meeting at 7:30 PM today?"
spam,You have been selected for a cash prize of $250. Call +1800123456 immediately!
ham,Let’s catch up over sushi sometime this week.
spam,Get cheap headphones at 90% off. Visit http://scam.com/claim now!
spam,Win a free iPhone by participating here: http://scam.com/claim
ham,Happy Birthday! Hope you have an amazing day!
spam,Earn $500 working from home. Sign up at http://freegift.co
ham,Thanks for helping me with the cleaning yesterday.
ham,Thanks for helping me with the presentation yesterday.
ham,Good luck with your final project tomorrow!
spam,Win a free iPhone by participating here: http://freegift.co
ham,"I'll call you after work, probably around noon."
ham,Are you coming to the party tonight?
ham,Can you send me the notes from computer class?
ham,Don't forget to bring the charger tomorrow.
spam,Earn $100 working from home. Sign up at http://bit.ly/winprize
spam,Win a free iPhone by participating here: http://scam.com/claim
spam,Win a free iPhone by participating here: http://scam.com/claim
ham,Let’s catch up over burger sometime this week.
ham,Happy Birthday! Hope you have an amazing day!
spam,Win a free iPhone by participating here: http://bit.ly/winprize
spam,Congratulations! You've won a $500 gift card. Click here to claim: http://freegift.co
ham,Can you send me the notes from history class?
spam,Earn $1000 working from home. Sign up at http://verify-now.net
ham,"I'll call you after work, probably around 7:30 PM."
spam,"Dear user, you are eligible for a loan of $250. Apply now: http://freegift.co"
ham,Please remind me to pick up charger on my way home.
ham,Thanks for helping me with the assignment yesterday.
spam,Congratulations! You've won a $250 gift card. Click here to claim: http://scam.com/claim
spam,Earn $250 working from home. Sign up at http://verify-now.net
ham,Please remind me to pick up laptop on my way home.
spam,Your parcel is waiting. Confirm delivery at http://freegift.co
spam,"Dear user, you are eligible for a loan of $500. Apply now: http://bit.ly/winprize"
spam,Claim your free phone today. Limited offer: http://bit.ly/winprize
spam,Hot singles in your area want to chat! Click http://scam.com/claim
spam,Earn $250 working from home. Sign up at http://verify-now.net
spam,Urgent! Your account will be suspended. Verify now: http://scam.com/claim
ham,Please remind me to pick up book on my way home.
spam,"Dear user, you are eligible for a loan of $250. Apply now: http://verify-now.net"
ham,"Hey, are we still meeting at noon today?"
ham,Happy Birthday! Hope you have an amazing day!
spam,Your parcel is waiting. Confirm delivery at http://bit.ly/winprize
ham,"Hey, are we still meeting at 7:30 PM today?"
spam,Earn $100 working from home. Sign up at http://freegift.co
spam,Get cheap laptop at 90% off. Visit http://verify-now.net now!
ham,Can you send me the notes from computer class?
ham,Let’s catch up over coffee sometime this week.
ham,Good luck with your coding test tomorrow!
spam,"Dear user, you are eligible for a loan of $2000. Apply now: http://bit.ly/winprize"
spam,Get cheap laptop at 90% off. Visit http://freegift.co now!
ham,"I'll call you after work, probably around 5 PM."
spam,You have been selected for a cash prize of $500. Call +1800123456 immediately!
ham,Let’s catch up over coffee sometime this week.
ham,"Hey, are we still meeting at 5 PM today?"
ham,Good luck with your math exam tomorrow!
ham,Let’s catch up over burger sometime this week.
ham,Let’s catch up over pizza sometime this week.
ham,"Hey, are we still meeting at 7:30 PM today?"
spam,Your parcel is waiting. Confirm delivery at http://bit.ly/winprize
ham,Please remind me to pick up book on my way home.
ham,Are you coming to the party tonight?
spam,Get cheap watch at 90% off. Visit http://bit.ly/winprize now!
spam,Get cheap headphones at 90% off. Visit http://freegift.co now!
spam,Congratulations! You've won a $100 gift card. Click here to claim: http://verify-now.net
spam,Congratulations! You've won a $100 gift card. Click here to claim: http://scam.com/claim
spam,Urgent! Your account will be suspended. Verify now: http://bit.ly/winprize
spam,"Dear user, you are eligible for a loan of $250. Apply now: http://freegift.co"
spam,Claim your free headphones today. Limited offer: http://freegift.co
ham,Please remind me to pick up laptop on my way home.
ham,"Hey, are we still meeting at 5 PM today?"
spam,Get cheap laptop at 90% off. Visit http://verify-now.net now!
spam,Get cheap phone at 90% off. Visit http://freegift.co now!
spam,Earn $2000 working from home. Sign up at http://verify-now.net
spam,Your parcel is waiting. Confirm delivery at http://freegift.co
spam,Urgent! Your account will be suspended. Verify now: http://bit.ly/winprize
ham,"Hey, are we still meeting at 7:30 PM today?"
ham,Can you send me the notes from science class?
spam,Win a free iPhone by participating here: http://freegift.co
spam,Urgent! Your account will be suspended. Verify now: http://verify-now.net
ham,Happy Birthday! Hope you have an amazing day!
ham,Are you coming to the game night tonight?
ham,"Hey, are we still meeting at 5 PM today?"
